,model,layer,paraphrase_identity_rdm_corr,paraphrase_identity_rdm_std,paraphrase_identity_rdm_corr_within_compound_sentences,paraphrase_identity_rdm_std_within_compound_sentences,jaccard_rdm_corr,jaccard_rdm_std,jaccard_rdm_corr_within_compound_sentences,jaccard_rdm_std_within_compound_sentences,monge_elkan_rdm_corr,monge_elkan_rdm_std,monge_elkan_rdm_corr_within_compound_sentences,monge_elkan_rdm_std_within_compound_sentences,ratcliff_obershelp_rdm_corr,ratcliff_obershelp_rdm_std,ratcliff_obershelp_rdm_corr_within_compound_sentences,ratcliff_obershelp_rdm_std_within_compound_sentences,levenshtein_rdm_corr,levenshtein_rdm_std,levenshtein_rdm_corr_within_compound_sentences,levenshtein_rdm_std_within_compound_sentences,fasttext_mean_rdm_corr,fasttext_mean_rdm_std,fasttext_mean_rdm_corr_within_compound_sentences,fasttext_mean_rdm_std_within_compound_sentences
76,meta-llama/Llama-3.2-1B,5,0.22342791822672095,0.13204347583902443,,,0.39354596475342374,0.09584314199612874,0.44053067341072166,0.21723480193076974,0.022566402173627896,0.1067095494554967,0.20083787917579324,0.3024374646103456,0.3658865606119296,0.08421354155892655,0.5035609899514583,0.20083694961571885,0.33641081228474845,0.08975169603358675,0.5017585390414139,0.20535340215510994,0.38831217870065676,0.11395914538685474,0.4637037037037036,0.1648776409594102
77,meta-llama/Llama-3.2-1B,6,0.2256318193094903,0.13429927881171552,,,0.39995367349299765,0.09323902855407129,0.45027125404904833,0.21957984868234456,0.01981627075583165,0.109520700277595,0.2114955878146926,0.322178508828446,0.3692870699145396,0.08205635879511136,0.5162644261015991,0.2073406137411392,0.33990827827190934,0.08908196322923226,0.5131547485015767,0.2088346024275695,0.39154212474689293,0.12130438899689389,0.46317460317460313,0.16241821271318577
78,meta-llama/Llama-3.2-1B,7,0.22407228502732535,0.1340741503786428,,,0.4089999762315574,0.09078674299798549,0.44528008634416116,0.22968124785643304,0.028280241437938516,0.1119307109931667,0.19739273032286672,0.29922914372712245,0.3759974124775448,0.07928326223924165,0.51383326791721,0.20807285778098497,0.34805532019294655,0.08210658346334075,0.516235054333558,0.21440591856680807,0.39362613373326866,0.11860211983690165,0.4623280423280423,0.1710931135479781
79,meta-llama/Llama-3.2-1B,8,0.2161082697772868,0.13697867458067706,,,0.4150554539718256,0.08884442755645675,0.43757580899028825,0.2232504870574088,0.021095061161744325,0.11193426533325791,0.19608245403434807,0.30393935017109,0.3804118071056492,0.07856007093841348,0.5125926068167961,0.2012234443082658,0.35517610891532586,0.08506391551234888,0.5033173832102366,0.20482380075326206,0.38889359473439866,0.12256713908975264,0.45555555555555544,0.16916643860594002
80,meta-llama/Llama-3.2-1B,9,0.2073960299381394,0.1381911141223732,,,0.4250576774487735,0.09087701215479146,0.43989188129736706,0.22213309633260286,0.022355709005062722,0.11584697025040033,0.20093079565551697,0.306329321943211,0.3816442548391263,0.07893036977766535,0.5066865036987924,0.20449541349824865,0.3609751297285325,0.08216505587145316,0.5099593899845185,0.207610912212716,0.37902319078087,0.12543203473656525,0.4666666666666666,0.16767595634869226
81,meta-llama/Llama-3.2-1B,10,0.20392315617420215,0.13562101033364016,,,0.4350899285413767,0.09105295512832692,0.43395625614003347,0.2182240295595862,0.0342988050984467,0.11907326448579086,0.22309771004201967,0.3035636548453251,0.38571586477248765,0.08229260143808086,0.5089633432509083,0.19623385762538703,0.3663284099842833,0.0877077151233131,0.5114779537569917,0.20138954535830447,0.3679831407626704,0.12045908300665567,0.46899470899470896,0.1561438682413536
82,meta-llama/Llama-3.2-1B,11,0.16920800004892905,0.1333165489378152,,,0.4324846167309696,0.08968233326448377,0.42795503407319146,0.20967237876447292,0.033793683318926696,0.12332033862653527,0.20477459232360262,0.30133113424442226,0.37732819406104956,0.07667703223144638,0.49642391633436844,0.19178675649854768,0.36948859267382883,0.0899345477592258,0.4989407641273583,0.20273202694631323,0.33211009348418025,0.11494936246662918,0.4526984126984127,0.15553525404721819
83,meta-llama/Llama-3.2-1B,12,0.16443966831456353,0.1340941841853218,,,0.4214142085080288,0.0909416901066941,0.418204035308322,0.22419567036480878,0.03490310645377117,0.11613137670916657,0.2047793177751208,0.3104760874043477,0.36741752554001916,0.07533006254072276,0.47995316282441497,0.2016552654698331,0.3606991610300503,0.09237234851706176,0.4912565196794834,0.21188777689170357,0.32166733136369036,0.11225170600836175,0.4356613756613755,0.16772840615164958
84,meta-llama/Llama-3.2-1B,13,0.16890100327922955,0.13527696307523593,,,0.42742055169501253,0.09022592526221127,0.4160532512284854,0.22324607548504233,0.03414850133112883,0.11783062141553258,0.2049637165578089,0.29932485623229077,0.373986878852713,0.07896327859415073,0.48146837967151,0.20483957566070554,0.3650211088573879,0.09235848818236017,0.48527145742283234,0.20630675978153468,0.3316634913075617,0.11680673809828257,0.44455026455026453,0.1720251882106477
85,meta-llama/Llama-3.2-1B,14,0.17379307744750594,0.13651401531735316,,,0.4240272325140207,0.08942015258493026,0.4142832342010406,0.20215423466098945,0.03258786062922897,0.1181047193942472,0.20882422208021822,0.3021355683439975,0.3704264623690377,0.07432563238109086,0.4889072085251623,0.19555090323835622,0.36175412185968986,0.09015677174024973,0.48819244674961104,0.19356832788962253,0.3358682743062677,0.116851117488233,0.44391534391534376,0.15817168066140697
86,meta-llama/Llama-3.2-1B,15,0.16823790744844633,0.1337289705072486,,,0.4228273370746699,0.09084321649447118,0.41140288171553024,0.21580239372580576,0.031252797271858083,0.11902243952517119,0.19727819518883874,0.30268414198628163,0.3680137683369669,0.0806574422598568,0.4822429087745296,0.20390993647958588,0.3611976766111334,0.09137991831113718,0.48745316743455064,0.20888213962154376,0.33127406584053354,0.12122072538443211,0.44973544973544965,0.17213519530070917
87,meta-llama/Llama-3.2-1B,16,0.1714928561477532,0.13284827354133436,,,0.4306582771528657,0.09158235781796518,0.4136628498477908,0.20186136870314106,0.02513523420917255,0.11748308306216888,0.1943453231687542,0.2943487557171159,0.3717381638321304,0.08162360864675777,0.4963839517114806,0.1896892121188392,0.36712706952863455,0.08973570096817765,0.4934057860645758,0.18981600715288444,0.33255028352557703,0.11622714758108023,0.44962962962962955,0.16210379577161826
