,model,representation,layer,relation_vector_corr,num_top_relations_considered,condition
83,roberta-base,modifier,2,0.05552053092653451,10,_consider_magnitude
84,roberta-base,compound,2,0.1115245933576696,11,_consider_magnitude
85,roberta-base,head,2,0.0647925828694433,11,_consider_magnitude
86,roberta-base,modifier,2,0.05420471203686848,11,_consider_magnitude
87,roberta-base,compound,2,0.11105192055264393,12,_consider_magnitude
88,roberta-base,head,2,0.0652908055558217,12,_consider_magnitude
89,roberta-base,modifier,2,0.054191937096192105,12,_consider_magnitude
90,roberta-base,compound,2,0.10875243123089746,13,_consider_magnitude
91,roberta-base,head,2,0.06623104118960248,13,_consider_magnitude
92,roberta-base,modifier,2,0.05618482784170571,13,_consider_magnitude
93,roberta-base,compound,2,0.10722454832600371,14,_consider_magnitude
94,roberta-base,head,2,0.06573792847949463,14,_consider_magnitude
95,roberta-base,modifier,2,0.05429924659787361,14,_consider_magnitude
96,roberta-base,compound,2,0.10326942669259981,15,_consider_magnitude
97,roberta-base,head,2,0.06227847454433384,15,_consider_magnitude
98,roberta-base,modifier,2,0.05138145014739088,15,_consider_magnitude
99,roberta-base,compound,2,0.10238284580965978,16,_consider_magnitude
100,roberta-base,head,2,0.061397003637664364,16,_consider_magnitude
101,roberta-base,modifier,2,0.05067116344578475,16,_consider_magnitude
102,roberta-base,compound,2,0.10094310999543296,17,_consider_magnitude
103,roberta-base,head,2,0.060358400960675546,17,_consider_magnitude
104,roberta-base,modifier,2,0.04953547121965553,17,_consider_magnitude
105,roberta-base,compound,2,0.10098398980559734,18,_consider_magnitude
106,roberta-base,head,2,0.0604989253081156,18,_consider_magnitude
107,roberta-base,modifier,2,0.04962745079252538,18,_consider_magnitude
108,roberta-base,compound,3,0.15902408972872528,1,_consider_magnitude
109,roberta-base,head,3,0.1927378703749341,1,_consider_magnitude
110,roberta-base,modifier,3,0.09733591117119651,1,_consider_magnitude
111,roberta-base,compound,3,0.17383287575498643,2,_consider_magnitude
112,roberta-base,head,3,0.18444904141345467,2,_consider_magnitude
113,roberta-base,modifier,3,0.10791102142602704,2,_consider_magnitude
114,roberta-base,compound,3,0.16360724759486228,3,_consider_magnitude
115,roberta-base,head,3,0.15336447009601292,3,_consider_magnitude
116,roberta-base,modifier,3,0.10895884266720979,3,_consider_magnitude
117,roberta-base,compound,3,0.13971433664059424,4,_consider_magnitude
118,roberta-base,head,3,0.12678483537818364,4,_consider_magnitude
119,roberta-base,modifier,3,0.09738894865017071,4,_consider_magnitude
120,roberta-base,compound,3,0.12924254835821827,5,_consider_magnitude
121,roberta-base,head,3,0.11408343127027767,5,_consider_magnitude
122,roberta-base,modifier,3,0.07608166743978638,5,_consider_magnitude
123,roberta-base,compound,3,0.13257727138015787,6,_consider_magnitude
124,roberta-base,head,3,0.11802506261344782,6,_consider_magnitude
125,roberta-base,modifier,3,0.08336062717865207,6,_consider_magnitude
126,roberta-base,compound,3,0.11850632493296508,7,_consider_magnitude
127,roberta-base,head,3,0.10861764915303429,7,_consider_magnitude
128,roberta-base,modifier,3,0.07807135080389152,7,_consider_magnitude
129,roberta-base,compound,3,0.1138865867283993,8,_consider_magnitude
130,roberta-base,head,3,0.10596225306442185,8,_consider_magnitude
131,roberta-base,modifier,3,0.07300274822311635,8,_consider_magnitude
132,roberta-base,compound,3,0.11629295138784441,9,_consider_magnitude
133,roberta-base,head,3,0.10952733632336133,9,_consider_magnitude
134,roberta-base,modifier,3,0.0784803682508288,9,_consider_magnitude
135,roberta-base,compound,3,0.11729758904932086,10,_consider_magnitude
136,roberta-base,head,3,0.10716706109296005,10,_consider_magnitude
137,roberta-base,modifier,3,0.07957446672607014,10,_consider_magnitude
138,roberta-base,compound,3,0.11637779332062227,11,_consider_magnitude
139,roberta-base,head,3,0.10500809611865365,11,_consider_magnitude
140,roberta-base,modifier,3,0.07958724166674651,11,_consider_magnitude
141,roberta-base,compound,3,0.1152433785885607,12,_consider_magnitude
142,roberta-base,head,3,0.10628303519815531,12,_consider_magnitude
143,roberta-base,modifier,3,0.07842727705333218,12,_consider_magnitude
144,roberta-base,compound,3,0.1141958334530984,13,_consider_magnitude
145,roberta-base,head,3,0.10947677036724762,13,_consider_magnitude
146,roberta-base,modifier,3,0.07959746161928762,13,_consider_magnitude
147,roberta-base,compound,3,0.11292344936173203,14,_consider_magnitude
148,roberta-base,head,3,0.11128825695515676,14,_consider_magnitude
149,roberta-base,modifier,3,0.07801336897541782,14,_consider_magnitude
150,roberta-base,compound,3,0.10968627939434007,15,_consider_magnitude
151,roberta-base,head,3,0.10879714352326476,15,_consider_magnitude
