,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences,same_head_rdm_corr,same_head_rdm_std,same_head_rdm_corr_within_compound_sentences,same_head_rdm_std_within_compound_sentences,same_modifier_rdm_corr,same_modifier_rdm_std,same_modifier_rdm_corr_within_compound_sentences,same_modifier_rdm_std_within_compound_sentences
0,openai-community/gpt2,1,compound_mean,0.03764512466565686,0.12233643049313775,0.08238190172775027,0.3542165080698401,,,,,,,,
1,openai-community/gpt2,1,compound_mean,0.03764512466565686,0.12233643049313775,0.08238190172775027,0.3542165080698401,0.011826147636238567,0.12312060215026457,0.21032304338851862,0.3369163111571332,,,,
2,openai-community/gpt2,1,compound_mean,0.03764512466565686,0.12233643049313775,0.08238190172775027,0.3542165080698401,0.011826147636238567,0.12312060215026457,0.21032304338851862,0.3369163111571332,0.057093321675493226,0.1280657589751567,0.007761596258729196,0.3023240366414835
3,openai-community/gpt2,1,head_noun_mean,0.059929989020195765,0.15439031092548633,0.02761248645682379,0.2894080810874849,,,,,,,,
4,openai-community/gpt2,1,head_noun_mean,0.059929989020195765,0.15439031092548633,0.02761248645682379,0.2894080810874849,0.11989823603902203,0.17853239425431072,0.11480256794933794,0.35004950522250905,,,,
5,openai-community/gpt2,1,head_noun_mean,0.059929989020195765,0.15439031092548633,0.02761248645682379,0.2894080810874849,0.11989823603902203,0.17853239425431072,0.11480256794933794,0.35004950522250905,0.09819477271626004,0.14199036274389729,0.11851583773335708,0.3159553258567977
6,openai-community/gpt2,1,mod_word_mean,0.01188065869279061,0.10440979328653283,0.05226439067721213,0.33517678295156994,,,,,,,,
7,openai-community/gpt2,1,mod_word_mean,0.01188065869279061,0.10440979328653283,0.05226439067721213,0.33517678295156994,0.05099757828481137,0.1355489475538035,0.11381736950805249,0.29843268471066847,,,,
8,openai-community/gpt2,1,mod_word_mean,0.01188065869279061,0.10440979328653283,0.05226439067721213,0.33517678295156994,0.05099757828481137,0.1355489475538035,0.11381736950805249,0.29843268471066847,0.028360275874928387,0.11101215825734712,0.09311946958106776,0.29468666109910335
9,openai-community/gpt2,2,compound_mean,-0.0044284375368181415,0.08385512806228454,0.009280088426061461,0.28772778147216443,,,,,,,,
10,openai-community/gpt2,2,compound_mean,-0.0044284375368181415,0.08385512806228454,0.009280088426061461,0.28772778147216443,0.003847001078102103,0.1141481040513483,0.02889228484128526,0.2792869755513653,,,,
11,openai-community/gpt2,2,compound_mean,-0.0044284375368181415,0.08385512806228454,0.009280088426061461,0.28772778147216443,0.003847001078102103,0.1141481040513483,0.02889228484128526,0.2792869755513653,0.049280286286121536,0.12393939153773856,0.16824294158804357,0.31530207903084995
12,openai-community/gpt2,2,head_noun_mean,0.0975018813508494,0.1662617046801733,-0.001423346412877589,0.330778748158979,,,,,,,,
13,openai-community/gpt2,2,head_noun_mean,0.0975018813508494,0.1662617046801733,-0.001423346412877589,0.330778748158979,0.1682599833400059,0.1743870999013454,0.16580568034180304,0.30365877680915937,,,,
14,openai-community/gpt2,2,head_noun_mean,0.0975018813508494,0.1662617046801733,-0.001423346412877589,0.330778748158979,0.1682599833400059,0.1743870999013454,0.16580568034180304,0.30365877680915937,0.13575834316971208,0.14946813646101514,0.027127364510572415,0.27763000018776707
15,openai-community/gpt2,2,mod_word_mean,0.09871916895389825,0.17306491409021216,-0.010551582291365347,0.30211073469219246,,,,,,,,
