,model,layer,representation,paraphrase_identity_rdm_corr,paraphrase_identity_rdm_std,paraphrase_identity_rdm_corr_within_compound_sentences,paraphrase_identity_rdm_std_within_compound_sentences,jaccard_rdm_corr,jaccard_rdm_std,jaccard_rdm_corr_within_compound_sentences,jaccard_rdm_std_within_compound_sentences,monge_elkan_rdm_corr,monge_elkan_rdm_std,monge_elkan_rdm_corr_within_compound_sentences,monge_elkan_rdm_std_within_compound_sentences,ratcliff_obershelp_rdm_corr,ratcliff_obershelp_rdm_std,ratcliff_obershelp_rdm_corr_within_compound_sentences,ratcliff_obershelp_rdm_std_within_compound_sentences,levenshtein_rdm_corr,levenshtein_rdm_std,levenshtein_rdm_corr_within_compound_sentences,levenshtein_rdm_std_within_compound_sentences,fasttext_mean_rdm_corr,fasttext_mean_rdm_std,fasttext_mean_rdm_corr_within_compound_sentences,fasttext_mean_rdm_std_within_compound_sentences
208,microsoft/phi-1,22,head_noun_mean,0.3362921031645198,0.03735309687066032,,,0.2994222804854362,0.10602713386465093,0.5380464566509442,0.20442324125380293,0.016968446847493258,0.13037933994415846,0.3025716723208889,0.3374186205451557,0.3442461488802218,0.13109863517622947,0.5873886300502483,0.18145014797685813,0.30581971909426914,0.12014783642876092,0.5776833863251212,0.18938319079965105,0.44502692050090487,0.11208245019029653,0.539100529100529,0.20662455513109945
209,microsoft/phi-1,22,mod_word_mean,0.3357192385148839,0.05030078119522141,,,0.28888120753272817,0.09139143675910373,0.28510755444080804,0.20444642976834512,0.06990566294110215,0.059592973964421515,0.17675535531614026,0.2432213872763282,0.34331591474670464,0.08440887948553495,0.32793383074373245,0.1968067309091989,0.27591457368459854,0.08308457711794151,0.34866733317231535,0.20568058058859642,0.4047694713786933,0.085525595522176,0.4130431941705783,0.16383204806375337
210,microsoft/phi-1,23,compound_mean,0.4199776848581045,0.046531453940396726,,,0.37374430841683165,0.1053874574468048,0.50251057364014,0.17430062854248063,0.04929760952307765,0.10960898015034325,0.2644339627576349,0.21027446366893673,0.4385250812555859,0.12153989419709484,0.5657249863101159,0.14235264647626297,0.35901324123829814,0.12280124770156801,0.5790027533757515,0.1675612067570333,0.639426487683029,0.07679620775641084,0.6462962962962963,0.13236013142020808
211,microsoft/phi-1,23,head_noun_mean,0.3359972491049222,0.03886962778279659,,,0.3016505342822634,0.10725404233199033,0.5343338021047762,0.2085340171167704,0.016198802330060585,0.13418026579416187,0.3018060012921955,0.3362988600149789,0.34324578667481576,0.13052281084666498,0.5836009338585708,0.16968634187931195,0.3063971017312508,0.12148732076449234,0.5762096414396136,0.18390942973863703,0.44579267706532016,0.11355093515060938,0.5376190476190476,0.20133494599058133
212,microsoft/phi-1,23,mod_word_mean,0.3320453178911326,0.05341421089412274,,,0.2893486955816249,0.08945619972532606,0.27977042286200876,0.19795678353489243,0.06983579331607763,0.061075163657566656,0.17599613763388045,0.24305025145919334,0.3445516399448153,0.08328424233393998,0.3278908501480462,0.1961764730641519,0.27772709209682006,0.08144475149927198,0.3376178868343735,0.19722902320455507,0.40453282695882464,0.08676330805166053,0.4062431724619512,0.16497196721323099
213,microsoft/phi-1,24,compound_mean,0.4814854565449004,0.04201751729918969,,,0.28431008628041066,0.1242782017633575,0.48302541934772353,0.18689372937930085,0.02822643012374548,0.11612280857640471,0.2797851493797731,0.3029171909725796,0.3104677913742651,0.12374983465786042,0.5395725680592541,0.17069524571754738,0.20590723163298325,0.12383454542505452,0.5342700566368933,0.19701873906938133,0.5529832151401518,0.0953798128813006,0.45285714285714274,0.15888122441065083
214,microsoft/phi-1,24,head_noun_mean,0.4059767679034031,0.03172303603496542,,,0.21149392101410125,0.12312546450921517,0.3006604574665556,0.2280111328253424,0.0071996318547426046,0.1508532474288358,0.17247761383803514,0.37508747377570595,0.22644670401362374,0.15228665468991232,0.3271852778698072,0.1996882289797094,0.1577855260905265,0.14203979285566487,0.3092586579979504,0.20743739848339335,0.4095896544504099,0.13199498820765623,0.2520637743211908,0.237955003800479
215,microsoft/phi-1,24,mod_word_mean,0.35477147402001463,0.0713364218405275,,,0.18874681165205806,0.11725710402577125,0.21445153489956767,0.22368607193799725,0.00783132615300078,0.08236649705792391,0.12915722115787032,0.2225096846900202,0.20140585383249554,0.11362801254228769,0.26018871679338557,0.1736769283466683,0.11475140693109503,0.10479074464892535,0.27486366500493886,0.1830254972991492,0.3439581097219683,0.10633883808838107,0.31893393264933845,0.20060348454073046
216,meta-llama/Llama-3.2-1B,1,compound_mean,0.4890972990815904,0.01814744757528847,,,0.3305743865420351,0.11684034446354896,0.47156801543539933,0.18209840043194753,0.02652968268681429,0.10465832497359027,0.2639856862396708,0.23369989817137046,0.369238205076692,0.10592574950403824,0.5254970012287592,0.14432491181826376,0.2659630072091483,0.10972320957365478,0.5197162750975687,0.16476227273759061,0.6508621920739065,0.06694562814903282,0.6159259259259259,0.15164891588793594
217,meta-llama/Llama-3.2-1B,1,head_noun_mean,0.3393192237254823,0.028618055526028648,,,0.26515384382434887,0.1081378800003943,0.38317630476304504,0.22644807869202283,0.02295565808616636,0.14718273524570202,0.2219884059555698,0.3408991999006237,0.30102126997826345,0.1422959620816404,0.4168276148697108,0.21322913628115658,0.2612444706953244,0.13458952159248544,0.41373041220085044,0.20450389033240393,0.4154495684578663,0.1215783812698607,0.3813227513227513,0.22545426771333454
218,meta-llama/Llama-3.2-1B,1,mod_word_mean,0.3547865289362469,0.027440655027540017,,,0.208360078018207,0.11013118612673907,0.2245258842329997,0.20637150316557587,0.011884602940193103,0.07863131934511722,0.14320816317688081,0.26284675432927834,0.22956889385353632,0.08993578182311432,0.27124609530519356,0.16610278689221925,0.1518997539907841,0.08367219790276112,0.2719757381911506,0.16249362141191825,0.34714346239954946,0.10127585882525586,0.3402918282375162,0.1631240844622675
219,meta-llama/Llama-3.2-1B,2,compound_mean,0.4802244836355313,0.022789850084068284,,,0.35418052619161855,0.1137529961916619,0.4616121745454574,0.1897262337008815,0.01446829517247301,0.11302453530501905,0.2536724774103452,0.22157180917050429,0.3823178903949444,0.11607163805171039,0.5122521928412728,0.14645668529202013,0.290682368885587,0.12181314634487751,0.5098389196798652,0.15851610149084536,0.6527392329787448,0.06553918539363233,0.5994708994708995,0.1721259250118833
