,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences,same_head_rdm_corr,same_head_rdm_std,same_head_rdm_corr_within_compound_sentences,same_head_rdm_std_within_compound_sentences,same_modifier_rdm_corr,same_modifier_rdm_std,same_modifier_rdm_corr_within_compound_sentences,same_modifier_rdm_std_within_compound_sentences
388,xlm-mlm-xnli15-1024,2,compound_mean,0.2388219447210006,0.08172510809398853,-0.00408022355416565,0.17678523732744109,0.5193452316267912,0.08412394149718211,0.4072282688291705,0.19783498689549786,,,,
389,xlm-mlm-xnli15-1024,2,compound_mean,0.2388219447210006,0.08172510809398853,-0.00408022355416565,0.17678523732744109,0.5193452316267912,0.08412394149718211,0.4072282688291705,0.19783498689549786,0.4387765092803187,0.1276140243838225,0.37000507326763754,0.2110538169099283
390,xlm-mlm-xnli15-1024,2,head_noun_mean,0.17232914019487885,0.1013870696841697,-0.0027328034150749052,0.183265088510161,,,,,,,,
391,xlm-mlm-xnli15-1024,2,head_noun_mean,0.17232914019487885,0.1013870696841697,-0.0027328034150749052,0.183265088510161,0.6946349441046918,0.013512717670357891,0.6804114250538146,0.03175762309259906,,,,
392,xlm-mlm-xnli15-1024,2,head_noun_mean,0.17232914019487885,0.1013870696841697,-0.0027328034150749052,0.183265088510161,0.6946349441046918,0.013512717670357891,0.6804114250538146,0.03175762309259906,0.004617866519595865,0.09113671178454771,-0.14079208151232528,0.15383716711509174
393,xlm-mlm-xnli15-1024,2,mod_word_mean,0.17236734327473593,0.10165847130904772,-0.006699137558560263,0.18578743495484826,,,,,,,,
394,xlm-mlm-xnli15-1024,2,mod_word_mean,0.17236734327473593,0.10165847130904772,-0.006699137558560263,0.18578743495484826,0.027804259559581622,0.08132066044047404,-0.09510548731985356,0.12444908255031202,,,,
395,xlm-mlm-xnli15-1024,2,mod_word_mean,0.17236734327473593,0.10165847130904772,-0.006699137558560263,0.18578743495484826,0.027804259559581622,0.08132066044047404,-0.09510548731985356,0.12444908255031202,0.653810112083525,0.0937632970107796,0.683529663232683,0.003069479310480078
396,xlm-mlm-xnli15-1024,3,compound_mean,0.2484472247599581,0.0908450983582909,0.015561631478794018,0.17760041463653997,,,,,,,,
397,xlm-mlm-xnli15-1024,3,compound_mean,0.2484472247599581,0.0908450983582909,0.015561631478794018,0.17760041463653997,0.5019072651424519,0.09315100968858962,0.4072282688291705,0.21161857436674628,,,,
398,xlm-mlm-xnli15-1024,3,compound_mean,0.2484472247599581,0.0908450983582909,0.015561631478794018,0.17760041463653997,0.5019072651424519,0.09315100968858962,0.4072282688291705,0.21161857436674628,0.4277349620539192,0.13134438148961672,0.3613304059525394,0.22084248570827644
399,xlm-mlm-xnli15-1024,3,head_noun_mean,0.18209077341704796,0.09835727011475082,0.0038144815959116484,0.16770908059546955,,,,,,,,
400,xlm-mlm-xnli15-1024,3,head_noun_mean,0.18209077341704796,0.09835727011475082,0.0038144815959116484,0.16770908059546955,0.6943192328932005,0.014079004579647655,0.6804114250538146,0.03175762309259906,,,,
401,xlm-mlm-xnli15-1024,3,head_noun_mean,0.18209077341704796,0.09835727011475082,0.0038144815959116484,0.16770908059546955,0.6943192328932005,0.014079004579647655,0.6804114250538146,0.03175762309259906,0.017303827795954612,0.09611487612772818,-0.09958741176560944,0.1405114626162923
402,xlm-mlm-xnli15-1024,3,mod_word_mean,0.19205081500835444,0.10251458209318244,0.019527965622279368,0.19240271256387625,,,,,,,,
403,xlm-mlm-xnli15-1024,3,mod_word_mean,0.19205081500835444,0.10251458209318244,0.019527965622279368,0.19240271256387625,0.04848681728508023,0.09185017235363799,-0.07355654743399932,0.1344018643373296,,,,
404,xlm-mlm-xnli15-1024,3,mod_word_mean,0.19205081500835444,0.10251458209318244,0.019527965622279368,0.19240271256387625,0.04848681728508023,0.09185017235363799,-0.07355654743399932,0.1344018643373296,0.6469698786532998,0.10247069509243238,0.683529663232683,0.003069479310480078
405,xlm-mlm-xnli15-1024,4,compound_mean,0.23790410104186355,0.09499561912445434,0.02865620150076711,0.2066187039709342,,,,,,,,
406,xlm-mlm-xnli15-1024,4,compound_mean,0.23790410104186355,0.09499561912445434,0.02865620150076711,0.2066187039709342,0.47869422096424824,0.10267359396618597,0.40939693565794505,0.21929614247374893,,,,
407,xlm-mlm-xnli15-1024,4,compound_mean,0.23790410104186355,0.09499561912445434,0.02865620150076711,0.2066187039709342,0.47869422096424824,0.10267359396618597,0.40939693565794505,0.21929614247374893,0.3914380035034759,0.13275600374888116,0.33422207059285797,0.2207264091926194
408,xlm-mlm-xnli15-1024,4,head_noun_mean,0.1919709220061944,0.0911786267966122,0.016909051617884745,0.18887535572053654,,,,,,,,
409,xlm-mlm-xnli15-1024,4,head_noun_mean,0.1919709220061944,0.0911786267966122,0.016909051617884745,0.18887535572053654,0.6927311645003958,0.015204153480835087,0.6804114250538146,0.03175762309259906,,,,
410,xlm-mlm-xnli15-1024,4,head_noun_mean,0.1919709220061944,0.0911786267966122,0.016909051617884745,0.18887535572053654,0.6927311645003958,0.015204153480835087,0.6804114250538146,0.03175762309259906,0.020579455614782697,0.09431426123744378,-0.07031040957715345,0.13708261774532088
411,xlm-mlm-xnli15-1024,4,mod_word_mean,0.18639250756647946,0.10649801782265085,0.03786036365304172,0.1858128329508889,,,,,,,,
412,xlm-mlm-xnli15-1024,4,mod_word_mean,0.18639250756647946,0.10649801782265085,0.03786036365304172,0.1858128329508889,0.05700613054789343,0.09264383602325561,-0.037773544759219777,0.1207047305595872,,,,
413,xlm-mlm-xnli15-1024,4,mod_word_mean,0.18639250756647946,0.10649801782265085,0.03786036365304172,0.1858128329508889,0.05700613054789343,0.09264383602325561,-0.037773544759219777,0.1207047305595872,0.6322693889616796,0.10893038294880036,0.683529663232683,0.003069479310480078
414,xlm-mlm-xnli15-1024,5,compound_mean,0.21999967511073182,0.1080748135740977,0.039169820655239024,0.21980543683881162,,,,,,,,
415,xlm-mlm-xnli15-1024,5,compound_mean,0.21999967511073182,0.1080748135740977,0.039169820655239024,0.21980543683881162,0.41688631378460866,0.12967957154340629,0.3865570697548671,0.25150428989709134,,,,
