,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences,same_head_rdm_corr,same_head_rdm_std,same_head_rdm_corr_within_compound_sentences,same_head_rdm_std_within_compound_sentences,same_modifier_rdm_corr,same_modifier_rdm_std,same_modifier_rdm_corr_within_compound_sentences,same_modifier_rdm_std_within_compound_sentences
602,microsoft/phi-1,19,mod_word_mean,0.21741942374138032,0.10111968576517712,0.060130258806506805,0.20951448849047588,0.031479376975614475,0.08547735122335938,-0.20908645733589157,0.1863156015918133,0.6496427173172631,0.07860181624415806,0.735180125910789,0.029984518583522374
603,microsoft/phi-1,20,compound_mean,0.2613128111907248,0.07875182170201567,0.0628539361054709,0.16216132799251587,,,,,,,,
604,microsoft/phi-1,20,compound_mean,0.2613128111907248,0.07875182170201567,0.0628539361054709,0.16216132799251587,0.5470777301556613,0.08233478277064371,0.17583096673096268,0.1489745161784815,,,,
605,microsoft/phi-1,20,compound_mean,0.2613128111907248,0.07875182170201567,0.0628539361054709,0.16216132799251587,0.5470777301556613,0.08233478277064371,0.17583096673096268,0.1489745161784815,0.3660332376653352,0.11325943897420153,0.5935299898385406,0.15149728729652495
606,microsoft/phi-1,20,head_noun_mean,0.18948620724950724,0.08757059172982244,0.08904307614941712,0.16003257555902445,,,,,,,,
607,microsoft/phi-1,20,head_noun_mean,0.18948620724950724,0.08757059172982244,0.08904307614941712,0.16003257555902445,0.7063044636563888,0.021020274496737188,0.6771584248106528,0.040189524340130976,,,,
608,microsoft/phi-1,20,head_noun_mean,0.18948620724950724,0.08757059172982244,0.08904307614941712,0.16003257555902445,0.7063044636563888,0.021020274496737188,0.6771584248106528,0.040189524340130976,-0.028011658513428246,0.084476436478202,0.0316169313752489,0.12409152575029299
609,microsoft/phi-1,20,mod_word_mean,0.21660855628410391,0.10292949805290423,0.05612596152612802,0.2088769425724211,,,,,,,,
610,microsoft/phi-1,20,mod_word_mean,0.21660855628410391,0.10292949805290423,0.05612596152612802,0.2088769425724211,0.03288917869641075,0.08527241275717252,-0.20727751009212925,0.19570036137333138,,,,
611,microsoft/phi-1,20,mod_word_mean,0.21660855628410391,0.10292949805290423,0.05612596152612802,0.2088769425724211,0.03288917869641075,0.08527241275717252,-0.20727751009212925,0.19570036137333138,0.6443682505536511,0.08425797480604238,0.735180125910789,0.029984518583522374
612,microsoft/phi-1,21,compound_mean,0.25926979771087666,0.07960060558613904,0.05630665109448436,0.16360877924934922,,,,,,,,
613,microsoft/phi-1,21,compound_mean,0.25926979771087666,0.07960060558613904,0.05630665109448436,0.16360877924934922,0.546579147112175,0.08320714303034285,0.17474663331657542,0.14787860597309488,,,,
614,microsoft/phi-1,21,compound_mean,0.25926979771087666,0.07960060558613904,0.05630665109448436,0.16360877924934922,0.546579147112175,0.08320714303034285,0.17474663331657542,0.14787860597309488,0.3576782088024383,0.11478964365342141,0.5924456564241533,0.15201537186970115
615,microsoft/phi-1,21,head_noun_mean,0.19033729308723238,0.08696540234592214,0.09559036116040365,0.1558803927535248,,,,,,,,
616,microsoft/phi-1,21,head_noun_mean,0.19033729308723238,0.08696540234592214,0.09559036116040365,0.1558803927535248,0.7046827595719003,0.025281989244717924,0.6771584248106528,0.040189524340130976,,,,
617,microsoft/phi-1,21,head_noun_mean,0.19033729308723238,0.08696540234592214,0.09559036116040365,0.1558803927535248,0.7046827595719003,0.025281989244717924,0.6771584248106528,0.040189524340130976,-0.02434441329961601,0.08823722118611355,0.03053259796086164,0.12436276602899766
618,microsoft/phi-1,21,mod_word_mean,0.21663198557639513,0.10359616511613688,0.0672375941322428,0.20962407161614913,,,,,,,,
619,microsoft/phi-1,21,mod_word_mean,0.21663198557639513,0.10359616511613688,0.0672375941322428,0.20962407161614913,0.036150058309792496,0.08857451744863509,-0.21038870884456679,0.18842131032053028,,,,
620,microsoft/phi-1,21,mod_word_mean,0.21663198557639513,0.10359616511613688,0.0672375941322428,0.20962407161614913,0.036150058309792496,0.08857451744863509,-0.21038870884456679,0.18842131032053028,0.6375636424840028,0.09013676993132551,0.735180125910789,0.029984518583522374
621,microsoft/phi-1,22,compound_mean,0.2555735147275644,0.08157728160334536,0.0628539361054709,0.1602467233539551,,,,,,,,
622,microsoft/phi-1,22,compound_mean,0.2555735147275644,0.08157728160334536,0.0628539361054709,0.1602467233539551,0.5452100435279654,0.08447507861241452,0.18233696721728623,0.15703612275101322,,,,
623,microsoft/phi-1,22,compound_mean,0.2555735147275644,0.08157728160334536,0.0628539361054709,0.1602467233539551,0.5452100435279654,0.08447507861241452,0.18233696721728623,0.15703612275101322,0.3481372507837142,0.11665291009172449,0.5783493220371189,0.1728500537005545
624,microsoft/phi-1,22,head_noun_mean,0.19066061977730253,0.08667404017043744,0.09428090415820635,0.1602467233539551,,,,,,,,
625,microsoft/phi-1,22,head_noun_mean,0.19066061977730253,0.08667404017043744,0.09428090415820635,0.1602467233539551,0.7043053375724544,0.025439828527962283,0.6749897579818783,0.04154139248700902,,,,
626,microsoft/phi-1,22,head_noun_mean,0.19066061977730253,0.08667404017043744,0.09428090415820635,0.1602467233539551,0.7043053375724544,0.025439828527962283,0.6749897579818783,0.04154139248700902,-0.023496669947510436,0.08745487909278216,0.031616931375248895,0.13019498831264786
627,microsoft/phi-1,22,mod_word_mean,0.21278361815772845,0.10431083869713621,0.06993243441042428,0.21271555237179324,,,,,,,,
628,microsoft/phi-1,22,mod_word_mean,0.21278361815772845,0.10431083869713621,0.06993243441042428,0.21271555237179324,0.03553391899065562,0.08914544320195407,-0.21654024680293074,0.19452451612828672,,,,
629,microsoft/phi-1,22,mod_word_mean,0.21278361815772845,0.10431083869713621,0.06993243441042428,0.21271555237179324,0.03553391899065562,0.08914544320195407,-0.21654024680293074,0.19452451612828672,0.6302208987583805,0.09646407467816359,0.735180125910789,0.029984518583522374
630,microsoft/phi-1,23,compound_mean,0.251194407412945,0.08594178551910872,0.05364977395319629,0.16700021087003558,,,,,,,,
631,microsoft/phi-1,23,compound_mean,0.251194407412945,0.08594178551910872,0.05364977395319629,0.16700021087003558,0.5564550123841251,0.08052070351251632,0.18125263380289894,0.1656900276644221,,,,
