,model,layer,binom_p_val,num_success
45,xlm-mlm-xnli15-1024,4,"BinomTestResult(k=482, n=820, alternative='two-sided', statistic=0.5878048780487805, pvalue=5.555528854423468e-07)",482
46,xlm-mlm-xnli15-1024,5,"BinomTestResult(k=438, n=820, alternative='two-sided', statistic=0.5341463414634147, pvalue=0.05470538853358258)",438
47,xlm-mlm-xnli15-1024,6,"BinomTestResult(k=408, n=820, alternative='two-sided', statistic=0.4975609756097561, pvalue=0.9165710150858601)",408
48,xlm-mlm-xnli15-1024,7,"BinomTestResult(k=407, n=820, alternative='two-sided', statistic=0.49634146341463414, pvalue=0.8614015401138514)",407
49,xlm-mlm-xnli15-1024,8,"BinomTestResult(k=404, n=820, alternative='two-sided', statistic=0.4926829268292683, pvalue=0.7009018739649199)",404
50,xlm-mlm-xnli15-1024,9,"BinomTestResult(k=377, n=820, alternative='two-sided', statistic=0.45975609756097563, pvalue=0.023155557864749435)",377
51,xlm-mlm-xnli15-1024,10,"BinomTestResult(k=434, n=820, alternative='two-sided', statistic=0.5292682926829269, pvalue=0.10067420328080609)",434
52,xlm-mlm-xnli15-1024,11,"BinomTestResult(k=441, n=820, alternative='two-sided', statistic=0.5378048780487805, pvalue=0.03309082459004637)",441
53,xlm-mlm-xnli15-1024,12,"BinomTestResult(k=377, n=820, alternative='two-sided', statistic=0.45975609756097563, pvalue=0.023155557864749435)",377
54,bert-base-japanese,1,"BinomTestResult(k=412, n=820, alternative='two-sided', statistic=0.5024390243902439, pvalue=0.9165710150858601)",412
55,bert-base-japanese,2,"BinomTestResult(k=423, n=820, alternative='two-sided', statistic=0.5158536585365854, pvalue=0.382654018915252)",423
56,bert-base-japanese,3,"BinomTestResult(k=415, n=820, alternative='two-sided', statistic=0.5060975609756098, pvalue=0.7533199368314922)",415
57,bert-base-japanese,4,"BinomTestResult(k=397, n=820, alternative='two-sided', statistic=0.4841463414634146, pvalue=0.382654018915252)",397
58,bert-base-japanese,5,"BinomTestResult(k=426, n=820, alternative='two-sided', statistic=0.5195121951219512, pvalue=0.27899235116912724)",426
59,bert-base-japanese,6,"BinomTestResult(k=402, n=820, alternative='two-sided', statistic=0.4902439024390244, pvalue=0.6004287832445216)",402
60,bert-base-japanese,7,"BinomTestResult(k=385, n=820, alternative='two-sided', statistic=0.4695121951219512, pvalue=0.08699074869285413)",385
61,bert-base-japanese,8,"BinomTestResult(k=376, n=820, alternative='two-sided', statistic=0.4585365853658537, pvalue=0.01924207301145003)",376
62,bert-base-japanese,9,"BinomTestResult(k=309, n=820, alternative='two-sided', statistic=0.37682926829268293, pvalue=1.7331437633053685e-12)",309
63,bert-base-japanese,10,"BinomTestResult(k=301, n=820, alternative='two-sided', statistic=0.3670731707317073, pvalue=2.4869295687521312e-14)",301
64,bert-base-japanese,11,"BinomTestResult(k=317, n=820, alternative='two-sided', statistic=0.38658536585365855, pvalue=8.713874482378304e-11)",317
65,bert-base-japanese,12,"BinomTestResult(k=346, n=820, alternative='two-sided', statistic=0.4219512195121951, pvalue=8.849859562712651e-06)",346
