,model,layer,paraphrase_identity_rdm_corr,paraphrase_identity_rdm_std,paraphrase_identity_rdm_corr_within_compound_sentences,paraphrase_identity_rdm_std_within_compound_sentences,jaccard_rdm_corr,jaccard_rdm_std,jaccard_rdm_corr_within_compound_sentences,jaccard_rdm_std_within_compound_sentences,monge_elkan_rdm_corr,monge_elkan_rdm_std,monge_elkan_rdm_corr_within_compound_sentences,monge_elkan_rdm_std_within_compound_sentences,ratcliff_obershelp_rdm_corr,ratcliff_obershelp_rdm_std,ratcliff_obershelp_rdm_corr_within_compound_sentences,ratcliff_obershelp_rdm_std_within_compound_sentences,levenshtein_rdm_corr,levenshtein_rdm_std,levenshtein_rdm_corr_within_compound_sentences,levenshtein_rdm_std_within_compound_sentences,fasttext_mean_rdm_corr,fasttext_mean_rdm_std,fasttext_mean_rdm_corr_within_compound_sentences,fasttext_mean_rdm_std_within_compound_sentences
10,roberta-base,11,0.4067639163078433,0.047367979094152565,,,0.3634292967455241,0.10348510230133695,0.46134004980375104,0.2270911666872168,0.09902080256146487,0.12161968499811004,0.27583466842686905,0.34643811616707604,0.42365987531808325,0.09818630757379639,0.5052686433620893,0.21190658580869015,0.33723430582132935,0.10262767905380493,0.5117248783689257,0.2021211849127855,0.5608401106637594,0.09733023209049596,0.49888888888888877,0.17738034278980983
11,roberta-base,12,0.40044802476947794,0.04876853905884678,,,0.3317744655577927,0.11135568410839923,0.4905121228554448,0.2253741465859331,0.11793098464021677,0.12068046943527302,0.29727622487688127,0.35744962760661847,0.41796275118954074,0.09479731894893562,0.5352422083802358,0.19996160299887739,0.3296159707538538,0.10260690849027355,0.537695196437254,0.19125047044648247,0.5332760382067414,0.09789857029297297,0.5235449735449735,0.20015807280304143
12,bert-base-uncased,1,0.45239802430928494,0.034329161855272766,,,0.4558467875358355,0.08420106002514076,0.5342654559341491,0.1762089870512333,0.04366869475908996,0.11591578308329553,0.3265895902701103,0.26401926533742404,0.47751908486656497,0.09126083520539138,0.6428947692585754,0.15130941297616107,0.38279916856877844,0.10975556189926061,0.6456239721795451,0.17071520816129931,0.7572721550392271,0.05570966136670711,0.7094708994708994,0.1686025057959323
13,bert-base-uncased,2,0.4473609131949123,0.034348042566884486,,,0.45511463757220405,0.07582129549427595,0.535000050865578,0.18975794906806054,0.03566835875931092,0.11548756676273168,0.31388401089670226,0.24892710738979265,0.47625194349032757,0.08980902201010514,0.632431162659311,0.15170455041761544,0.3807247944901841,0.10560526726823875,0.6215866274676981,0.1743865873039666,0.7450116507836039,0.06086750314996624,0.7115343915343915,0.16256682423298993
14,bert-base-uncased,3,0.4331598479498509,0.039065845753769035,,,0.4687430460038916,0.07355751895294206,0.521435765123157,0.1760864949962362,0.03759377490762681,0.11754981548759129,0.302226120885436,0.25257129659616306,0.48318863446723437,0.0868923674086428,0.6234417992426144,0.14415546687145228,0.39540065648306444,0.10178745492461864,0.6276679986175997,0.16764949708184365,0.716115220574025,0.06424076848302473,0.6855026455026454,0.17917240826267322
15,bert-base-uncased,4,0.4171754498686686,0.04447942794423221,,,0.4883608267339669,0.07736322860138878,0.5447091837827652,0.18572077571479995,0.034452149980251034,0.11935905251912389,0.3082704220953577,0.27435585638824744,0.49293649357718916,0.08555782760327035,0.6361776441869132,0.1620749549493824,0.41393691126340393,0.09821305464532587,0.6273617011341571,0.17875097565201,0.682603378777751,0.06702680820957868,0.6366666666666666,0.16742174635412022
16,bert-base-uncased,5,0.4143135644356109,0.048055399912770906,,,0.4652175226162208,0.0846631616298229,0.5190822579770863,0.1857629395872943,0.03433593035669356,0.1164714861630003,0.30174634185662713,0.30572504208424434,0.47058234209087435,0.08813659900394501,0.5791580779441043,0.16316275070420402,0.3940931565765541,0.10438771675414725,0.5758479621778284,0.18108774261746965,0.6459505540873853,0.07745377274380046,0.596931216931217,0.1666651213500208
17,bert-base-uncased,6,0.3901946095398097,0.05356023353560479,,,0.4599090740245588,0.09048389003711864,0.5078521704066664,0.17555768772046607,0.049840164157812006,0.11290792969459976,0.3078252488778718,0.31787575868131585,0.47273449690839386,0.08574983111330178,0.5664901705731614,0.16456866354467975,0.4056743560994702,0.10325479148722082,0.5553770645237966,0.18327818813324,0.5989291446558445,0.08636969421999778,0.5895238095238096,0.17391041018816236
18,bert-base-uncased,7,0.3817078223342438,0.0559259357058537,,,0.4568851392491516,0.08909270753473654,0.49802677933966216,0.18930571271874902,0.056496257083144825,0.11334855742565508,0.29405698052217544,0.3057627536226663,0.4764115561054173,0.0864982275052614,0.55439088733198,0.17096197088307097,0.40902458449997964,0.10005436340676402,0.551437179258328,0.1969899033690159,0.5795567315022379,0.08803487162571214,0.5902645502645503,0.1785300285146358
19,bert-base-uncased,8,0.37258029793001785,0.05595647239016956,,,0.4354541957153467,0.09972927826593367,0.49524912241266283,0.21789753575149884,0.0699251848013827,0.11065535895269729,0.2822599896373685,0.3327357813198616,0.467676966380841,0.08925798837315958,0.5306441182940272,0.19434973768439107,0.40029182890514436,0.09888166755586347,0.5351009909695491,0.21247225778061357,0.5508622385455015,0.09317772555819202,0.5621164021164021,0.1777247338351329
