,model,layer,representation,paraphrase_identity_rdm_corr,paraphrase_identity_rdm_std,paraphrase_identity_rdm_corr_within_compound_sentences,paraphrase_identity_rdm_std_within_compound_sentences,jaccard_rdm_corr,jaccard_rdm_std,jaccard_rdm_corr_within_compound_sentences,jaccard_rdm_std_within_compound_sentences,monge_elkan_rdm_corr,monge_elkan_rdm_std,monge_elkan_rdm_corr_within_compound_sentences,monge_elkan_rdm_std_within_compound_sentences,ratcliff_obershelp_rdm_corr,ratcliff_obershelp_rdm_std,ratcliff_obershelp_rdm_corr_within_compound_sentences,ratcliff_obershelp_rdm_std_within_compound_sentences,levenshtein_rdm_corr,levenshtein_rdm_std,levenshtein_rdm_corr_within_compound_sentences,levenshtein_rdm_std_within_compound_sentences,fasttext_mean_rdm_corr,fasttext_mean_rdm_std,fasttext_mean_rdm_corr_within_compound_sentences,fasttext_mean_rdm_std_within_compound_sentences
60,bert-base-uncased,9,compound_mean,0.47832213019662706,0.020800471406106583,,,0.36571235230526716,0.1032259679985877,0.5200052544641102,0.23587316207230644,0.03750838300569178,0.09220992854490748,0.28754414931770184,0.298058759523348,0.40168357592073817,0.09250745604771558,0.5653369449662323,0.18155480554481565,0.31124728444837857,0.09909650799810474,0.5500363184641809,0.17308344734673814,0.6483641681446232,0.05614207509949562,0.6412698412698413,0.1502250488358184
61,bert-base-uncased,9,head_noun_mean,0.39152537671027754,0.03514403853966219,,,0.290597447440961,0.10559021737246749,0.43201535490899723,0.24475290653516685,0.05668923363225554,0.1290421538691445,0.2257280076061731,0.36472769089512774,0.3452090052312451,0.11729721771358194,0.4548892589114814,0.21788891078907022,0.2846807588863127,0.10807527264036115,0.44716127930548377,0.23327011336756104,0.4756525251653168,0.10120137350474778,0.45105820105820105,0.21237699133980423
62,bert-base-uncased,9,mod_word_mean,0.3841452148983811,0.03882672242498101,,,0.27903011286435325,0.11147065542895696,0.34685550489957634,0.2030128748385503,0.04204472486651331,0.06364216370715427,0.18488648480791559,0.22108324158364911,0.3006035031006072,0.08247548704032338,0.3835761953391366,0.17444560997643774,0.2191803410456459,0.07248136032738176,0.396586021009488,0.18454330995228058,0.4110141229287366,0.11059444662753372,0.4867195767195767,0.18094448294902216
63,bert-base-uncased,10,compound_mean,0.4824013493961123,0.01949711221687872,,,0.35426821176454826,0.1067852698609159,0.48963317739212286,0.23022191689625465,0.034768387586275575,0.09715342429878024,0.2736513876311095,0.300508693021147,0.3891039524003806,0.09586504067187937,0.531125253113604,0.17444095921972858,0.29639836230734307,0.10273996723719374,0.514744502345722,0.17484385156781243,0.6482111655759764,0.06156372040132163,0.6113756613756615,0.16967483480080903
64,bert-base-uncased,10,head_noun_mean,0.402980426105802,0.03628646192582013,,,0.29311151911704425,0.10955882566311201,0.4477595217698555,0.23612138701239851,0.057633565062446164,0.13350815320037498,0.2293817263690948,0.3615045197732559,0.34578772757039083,0.11905737367371408,0.45989112063609683,0.21307473558408938,0.27924757482364504,0.11424256979985048,0.45562649481713613,0.219602026052719,0.4944967422837806,0.10032433460736391,0.46206349206349195,0.1881725110847531
65,bert-base-uncased,10,mod_word_mean,0.3974536479732446,0.03885288047264396,,,0.27204433199794936,0.10947128241286008,0.33857129717241474,0.22906212526224842,0.04253033060771711,0.06467750545595193,0.17952679181866768,0.23290776499116655,0.2966231815671359,0.08090336321586301,0.3827866885585322,0.1775628704885539,0.20933515349992643,0.07415980331607093,0.39128012153407427,0.19750098739007155,0.42105419085018025,0.10708142605364393,0.48804232804232794,0.18597491472304972
66,bert-base-uncased,11,compound_mean,0.483508330178778,0.019865256741458878,,,0.3395316196185532,0.11529382545354454,0.4769355093829414,0.23020527775897126,0.03557611059882582,0.10312845566033063,0.2744148657018383,0.31397621031251477,0.3742501684886062,0.09813970787387907,0.5169449781901656,0.16926304099614226,0.2785198299878253,0.10197237255487887,0.5185261156269687,0.1740909962735729,0.6309115544827332,0.06544228658220623,0.5966666666666666,0.16608912278598775
67,bert-base-uncased,11,head_noun_mean,0.41458061608910535,0.036204277866553725,,,0.28662423383303787,0.11235427015770966,0.4462107725137068,0.23533559485979869,0.057397603515642756,0.13253892462909087,0.24025517697285695,0.37142693116656483,0.337872445277071,0.12186772123782237,0.46362522191377653,0.2132938810515257,0.2658743359901249,0.11823044614105312,0.45617888262549133,0.22205843562221922,0.500719021819801,0.1052698396891703,0.4553968253968253,0.20133961786830723
68,bert-base-uncased,11,mod_word_mean,0.404651593048658,0.04119210040711917,,,0.25840138759794884,0.11210387853920599,0.34030037716332745,0.23287254836792146,0.04362788396855912,0.06935056822760498,0.1709623471602407,0.2213667826841624,0.2884751255860616,0.08029355253543467,0.37855933422085736,0.1830603096895328,0.19972894257752133,0.07916344356936987,0.3951246952695974,0.19620915448497592,0.4172677665600174,0.11002938544321617,0.5008465608465609,0.17945951221736126
69,bert-base-uncased,12,compound_mean,0.48200747106215575,0.021858966509405935,,,0.3347534056143289,0.11656819334114579,0.45369889208101594,0.2375814761840981,0.029476563907664337,0.10438459506477812,0.2686597716991596,0.2653985662512984,0.3633492584865749,0.10185144454561335,0.49581528828631893,0.18987478787967285,0.27180478291985993,0.10843195209621927,0.48775450888646316,0.19822503868462343,0.6270261462788148,0.07202139903479605,0.5913756613756614,0.17032082982772903
70,bert-base-uncased,12,head_noun_mean,0.42864834412122527,0.03293159200681258,,,0.2809390347288471,0.1106495977453622,0.41859829233772333,0.25882127853323533,0.05218759164537209,0.1312175142898149,0.22880997136807266,0.3618283474155178,0.3263598799934371,0.12016197228822992,0.45031197260771266,0.23698546059665834,0.257931735211367,0.12304713861816367,0.4449986138665594,0.24188976688851735,0.5124839997532638,0.09700021622630293,0.4257671957671957,0.1932505984227923
71,bert-base-uncased,12,mod_word_mean,0.4135771947553469,0.042086143907454326,,,0.2716414227072748,0.1141008356536993,0.317086208124583,0.24443514315752826,0.029962283588826764,0.07010787671233616,0.15648386130677522,0.20889988294394893,0.2911213237687283,0.08374615427613924,0.3561986205223675,0.18150276648626595,0.21019420894160165,0.08242465020610236,0.36033738568249535,0.20926089767002348,0.43847393355393843,0.10469239762275652,0.4793121693121693,0.20446555123445947
