,model,layer,paraphrase_identity_rdm_corr,paraphrase_identity_rdm_pvalue,paraphrase_identity_rdm_corr_within_compound_sentences,paraphrase_identity_rdm_pvalue_within_compound_sentences,jaccard_rdm_corr,jaccard_rdm_pvalue,jaccard_rdm_corr_within_compound_sentences,jaccard_rdm_pvalue_within_compound_sentences,monge_elkan_rdm_corr,monge_elkan_rdm_pvalue,monge_elkan_rdm_corr_within_compound_sentences,monge_elkan_rdm_pvalue_within_compound_sentences,ratcliff_obershelp_rdm_corr,ratcliff_obershelp_rdm_pvalue,ratcliff_obershelp_rdm_corr_within_compound_sentences,ratcliff_obershelp_rdm_pvalue_within_compound_sentences,levenshtein_rdm_corr,levenshtein_rdm_pvalue,levenshtein_rdm_corr_within_compound_sentences,levenshtein_rdm_pvalue_within_compound_sentences,fasttext_mean_rdm_corr,fasttext_mean_rdm_pvalue,fasttext_mean_rdm_corr_within_compound_sentences,fasttext_mean_rdm_pvalue_within_compound_sentences
0,bert-base-uncased,1,0.06603921473480237,0.0,,,0.3038011923556938,0.0,0.34256287403519997,0.0,-0.02445798394560778,5.0497555988552454e-120,0.18023393650468922,0.0,0.3465410768482438,0.0,0.47294424696071763,0.0,0.3757009269570558,0.0,0.5235555277681165,0.0,0.6199331327821521,0.0,0.6213830714670434,0.0
1,bert-base-uncased,2,0.0658870659301651,0.0,,,0.30603265174793093,0.0,0.3380585654505397,0.0,-0.034678058354417764,3.189654399663027e-239,0.166354315699242,0.0,0.33396842751729083,0.0,0.4562502730774598,0.0,0.36245351220102917,0.0,0.5034945971529466,0.0,0.6170737941044758,0.0,0.6153583027649094,0.0
2,bert-base-uncased,3,0.06559323838420293,0.0,,,0.31863314676868826,0.0,0.334986231093449,0.0,-0.039643753414518,0.0,0.15498260322001536,0.0,0.3336627840446851,0.0,0.4432101396928188,0.0,0.36297430354076543,0.0,0.49127265100906825,0.0,0.6038118288133371,0.0,0.6017248188802854,0.0
3,bert-base-uncased,4,0.06540826861068105,0.0,,,0.32133580252494887,0.0,0.30718946437196276,0.0,-0.05190073454667593,0.0,0.14089940564742479,0.0,0.31105549278526634,0.0,0.413265478631552,0.0,0.337821899778497,0.0,0.45786090748641256,0.0,0.5603259254132192,0.0,0.5879362867442385,0.0
4,bert-base-uncased,5,0.06558466549944403,0.0,,,0.28191981873343186,0.0,0.2332918167815876,0.0,-0.0635322246599199,0.0,0.1064625936815027,3.517991456504956e-247,0.2433073972055216,0.0,0.3185538665087907,0.0,0.26246552041113036,0.0,0.35382156300608997,0.0,0.4919257895103671,0.0,0.49269113163843226,0.0
5,bert-base-uncased,6,0.06489090706542697,0.0,,,0.2635758434278434,0.0,0.21464206612120143,0.0,-0.04435201185705313,0.0,0.1052186841479195,1.734356378662003e-241,0.24071841575315525,0.0,0.295156649051529,0.0,0.2557805883511258,0.0,0.32999311152875566,0.0,0.427146199309617,0.0,0.46057399071876265,0.0
6,bert-base-uncased,7,0.06470461674998855,0.0,,,0.2529879863772495,0.0,0.20201612211536746,0.0,-0.02960912824105567,5.764712912012004e-175,0.08909963877922057,9.325595243960405e-174,0.2354784193490702,0.0,0.2688789945990448,0.0,0.24709318640602115,0.0,0.30354896125490066,0.0,0.384304462644284,0.0,0.4330880037968357,0.0
7,bert-base-uncased,8,0.06450873673251548,0.0,,,0.2092164149483608,0.0,0.1661512643240072,0.0,0.009632642394634993,4.541819754517936e-20,0.07677213708402203,1.5961433131101415e-129,0.21755164842924835,0.0,0.23016111752252008,0.0,0.22481986517779587,0.0,0.25552336488337984,0.0,0.3072722697215772,0.0,0.38124287844846577,0.0
8,bert-base-uncased,9,0.06417313787801199,0.0,,,0.1471123632210833,0.0,0.1350354091354625,0.0,0.0434326992541736,0.0,0.07115236066515956,1.5586126826648962e-111,0.19908703604330816,0.0,0.20312482120541955,0.0,0.2010645655307958,0.0,0.2206506662868115,0.0,0.2251528540607746,0.0,0.33963161580266277,0.0
9,bert-base-uncased,10,0.06540319222746348,0.0,,,0.0828450849764911,0.0,0.055748180607529264,3.6706012076971965e-69,0.060388473059012224,0.0,0.03795770750867932,4.99677218819113e-33,0.12628842523366476,0.0,0.0973159436913832,1.2765679192758182e-207,0.12382104215286747,0.0,0.10253466803566805,3.7986220883999924e-228,0.1668216958081766,0.0,0.2390472300162764,0.0
10,bert-base-uncased,11,0.06577677977155169,0.0,,,0.046482699130951294,0.0,0.028646807095634896,1.680473833973789e-19,0.05472614178898657,0.0,0.012927001521916564,4.55938016020234e-05,0.08406307455875806,0.0,0.05339218265652602,7.460171794796601e-64,0.08057199969286503,0.0,0.057290125394129365,1.4072356520885923e-72,0.13171504041280138,0.0,0.19915621766769603,0.0
11,bert-base-uncased,12,0.0658567866376527,0.0,,,0.11004781017110221,0.0,0.07013505822934143,2.339799175238401e-108,0.00061225215949715,0.5598092143956543,0.030450608400009606,7.688037154046366e-22,0.09542362771015081,0.0,0.08955738190369619,3.7460983016286814e-176,0.09911051240674226,0.0,0.10568190344164594,3.1001242174572616e-242,0.23567796473010993,0.0,0.24404278687834338,0.0
12,roberta-base,1,0.06489793066326376,0.0,,,0.3499695429146874,0.0,0.3451681767609016,0.0,-0.023413046856642673,3.7619731372397486e-110,0.17172870228948958,0.0,0.3710024541630079,0.0,0.46416577649784924,0.0,0.4079998017306847,0.0,0.5182111299680278,0.0,0.609707439624468,0.0,0.6091766662529375,0.0
13,roberta-base,2,0.0644801618242198,0.0,,,0.33489472043049395,0.0,0.32620112186189376,0.0,-0.004873259213928101,3.4602449182928485e-06,0.15658299344051319,0.0,0.3719941352679611,0.0,0.4339976554562562,0.0,0.40509390332666567,0.0,0.4865746788546083,0.0,0.5582326680846509,0.0,0.5796190275606297,0.0
14,roberta-base,3,0.06532853663692614,0.0,,,0.25825820270130373,0.0,0.24819626040758436,0.0,0.01643784329856209,3.03130461669161e-55,0.11329312003734013,1.2461342873072292e-279,0.31125148924100837,0.0,0.3237784309481069,0.0,0.32913918454503305,0.0,0.3567893234762071,0.0,0.4339777972179895,0.0,0.48271050970686336,0.0
15,roberta-base,4,0.06536590026977268,0.0,,,0.1883803087889498,0.0,0.18158456437954962,0.0,0.040860081512911255,0.0,0.10127032847364129,7.356147139699639e-224,0.2586256964384946,0.0,0.2433837469899816,0.0,0.2671684490109299,0.0,0.2661671400404444,0.0,0.32966590002810936,0.0,0.4041223559490826,0.0
16,roberta-base,5,0.06533414747276804,0.0,,,0.1705147786444511,0.0,0.15606079434815137,0.0,0.052408258574982734,0.0,0.09645897396599849,2.738693857893678e-203,0.24212771086181983,0.0,0.21926686615218566,0.0,0.24898821654331582,0.0,0.2457287630938853,0.0,0.29051797805679913,0.0,0.3802377484143053,0.0
17,roberta-base,6,0.0649019678533315,0.0,,,0.14985941605083158,0.0,0.14299135946824398,0.0,0.05800646647027252,0.0,0.09573070877930906,2.9119240601948313e-200,0.22491967501612875,0.0,0.21000751376248805,0.0,0.23110143298883828,0.0,0.23474565576588524,0.0,0.25897791986049484,0.0,0.36015104450701824,0.0
18,roberta-base,7,0.06492652112921497,0.0,,,0.1708135828103366,0.0,0.12278281268306161,0.0,0.033431231061001494,1.76625805024446e-222,0.06845841085684504,2.1556356384039613e-103,0.20675376166760756,0.0,0.1720551005350725,0.0,0.21288311147285655,0.0,0.18869929109540426,0.0,0.25584881642385876,0.0,0.31371112126044665,0.0
19,roberta-base,8,0.06450611083953701,0.0,,,0.15351141706732552,0.0,0.09578364216964329,2.3280621157426063e-200,0.022925488760379184,1.0833765622761142e-105,0.06216637639888076,1.3453218512635943e-85,0.1709420237820367,0.0,0.14219751774714448,0.0,0.17372380693798808,0.0,0.15798530996653462,0.0,0.22763293154161762,0.0,0.28976754810149574,0.0
20,roberta-base,9,0.06394672451851607,0.0,,,0.14105002735298947,0.0,0.11813740784905422,1.1117590679687733e-303,0.06685373691441653,0.0,0.09020676948380789,4.745010243045655e-178,0.22037197190326413,0.0,0.1947976774012757,0.0,0.22365612524865353,0.0,0.2116888090702925,0.0,0.21992067648879027,0.0,0.32249725777881033,0.0
21,roberta-base,10,0.06406343437919748,0.0,,,0.10755173313268014,0.0,0.0986427409923057,2.2600006265209596e-212,0.09332784492736033,0.0,0.08517277855203687,5.909379932571993e-159,0.21101027698519453,0.0,0.1660933838821742,0.0,0.21229780414297042,0.0,0.18069855654112843,0.0,0.18854643265590795,0.0,0.28035609000787537,0.0
22,roberta-base,11,0.06534599896957871,0.0,,,0.11984275561610187,0.0,0.09422880190208224,5.647673762180139e-194,0.07311615982464272,0.0,0.08277811042851381,2.960952267245305e-150,0.19056506478238447,0.0,0.1463970990105048,0.0,0.1919654594046638,0.0,0.1564077357693484,0.0,0.21299508627235014,0.0,0.2606371099075933,0.0
23,roberta-base,12,0.06477804159793789,0.0,,,0.08376799743951373,0.0,0.1368925738884372,0.0,0.1278795662955854,0.0,0.09938279345344618,1.1372989361847923e-215,0.23109572056727903,0.0,0.21511256751039445,0.0,0.2307146869299749,0.0,0.224703155200812,0.0,0.16322108096492283,0.0,0.30391272959557214,0.0
24,bert-base-japanese,1,0.06510838175903318,0.0,,,0.40330215535323,0.0,0.39104615088613387,0.0,-0.1329487825105889,0.0,0.15525655148579606,0.0,0.20538997441113946,0.0,0.4002486503615794,0.0,0.22074173386466736,0.0,0.41619072077881286,0.0,0.33805693738192577,0.0,0.34561698062502483,0.0
25,bert-base-japanese,2,0.06487123847630588,0.0,,,0.3922080446699364,0.0,0.3677417109507219,0.0,-0.13655248519062688,0.0,0.13587479731505647,0.0,0.18682106105500165,0.0,0.36088124518354736,0.0,0.20140673826443553,0.0,0.37440210046634487,0.0,0.32760074287509816,0.0,0.317306039723782,0.0
26,bert-base-japanese,3,0.06479476992937971,0.0,,,0.3820198515463478,0.0,0.356249633061726,0.0,-0.1376448688997717,0.0,0.13782269626202384,0.0,0.18477098971635295,0.0,0.35354787777518243,0.0,0.20011392619592,0.0,0.3643254402256224,0.0,0.33494801096755117,0.0,0.30501581749587287,0.0
27,bert-base-japanese,4,0.06415423227309855,0.0,,,0.38689267786544657,0.0,0.3515951942842455,0.0,-0.13371252971813558,0.0,0.1299320102890019,0.0,0.19138098726590136,0.0,0.3500306629114861,0.0,0.2076586154613123,0.0,0.3631870730533991,0.0,0.33912470345744333,0.0,0.3081372470878805,0.0
28,bert-base-japanese,5,0.06397450541891399,0.0,,,0.38949133786255025,0.0,0.3433806162578498,0.0,-0.13392536344839834,0.0,0.1347502735467173,0.0,0.18244160617025082,0.0,0.3352923692363158,0.0,0.20014458229278861,0.0,0.34978691749913443,0.0,0.3360788874048555,0.0,0.2965075563819979,0.0
29,bert-base-japanese,6,0.06380814941836917,0.0,,,0.3909691864243392,0.0,0.32858016718877303,0.0,-0.135674584020327,0.0,0.1307702045262085,0.0,0.16716984410502786,0.0,0.3094980679805416,0.0,0.18466526672930034,0.0,0.32368675314967393,0.0,0.32317662281361004,0.0,0.2695570466099883,0.0
30,bert-base-japanese,7,0.06346816269863302,0.0,,,0.3981902876962202,0.0,0.3243913552524476,0.0,-0.13573674590337778,0.0,0.13987284631255908,0.0,0.16417401078548968,0.0,0.30964913534875405,0.0,0.1833849901442278,0.0,0.32360293736198703,0.0,0.3227415792465621,0.0,0.2687512467144455,0.0
31,bert-base-japanese,8,0.06292457409382568,0.0,,,0.413160149828498,0.0,0.3644325982979068,0.0,-0.13487887279342062,0.0,0.14351973089531073,0.0,0.17750929873333834,0.0,0.34466532806179395,0.0,0.19790162235753714,0.0,0.36016078500253884,0.0,0.3374663318142496,0.0,0.3036780224687564,0.0
