,model,layer,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences,same_head_rdm_corr,same_head_rdm_std,same_head_rdm_corr_within_compound_sentences,same_head_rdm_std_within_compound_sentences,same_modifier_rdm_corr,same_modifier_rdm_std,same_modifier_rdm_corr_within_compound_sentences,same_modifier_rdm_std_within_compound_sentences
77,meta-llama/Llama-3.2-3B,6,0.2599315481367977,0.09899561726741783,0.10206171989760336,0.2324024628233591,0.5340023825530663,0.10013202028060478,0.2783991851199232,0.22757070627044412,0.18988161678102936,0.11266975782472395,0.4232896437797407,0.23413796459252245
78,meta-llama/Llama-3.2-3B,7,0.26247679379731326,0.09739910797207198,0.10853307863480305,0.24331496739740835,0.5265456135702175,0.10182791815887891,0.2816521853630849,0.22697710749491748,0.17467057209644354,0.10826119931915391,0.41996052693301517,0.2238292209289294
79,meta-llama/Llama-3.2-3B,8,0.2595056004797413,0.10390680759934653,0.11900873465238154,0.2562542881972977,0.5179500711953943,0.1094993952552143,0.29256438370790305,0.23035992138078243,0.1650946229264976,0.11213972734095433,0.39834997524883364,0.22119567467776027
80,meta-llama/Llama-3.2-3B,9,0.2542905361797472,0.10322337978274145,0.13083181080905074,0.25136510714816507,0.5027424659112588,0.11568513254431077,0.30882938492371187,0.23779573082102862,0.15937502187522673,0.11602542895759164,0.3636513059884415,0.22004341234010316
81,meta-llama/Llama-3.2-3B,10,0.24521240467697333,0.10508502512223424,0.1334507248134454,0.2548753021781808,0.4801949105634011,0.12494240640255694,0.3119446567649827,0.22881309865043456,0.15401659293548972,0.1168039014779678,0.3592378557273286,0.21787023061641136
82,meta-llama/Llama-3.2-3B,11,0.23849414980700073,0.10537327946558443,0.1346842555418558,0.2550218377964844,0.47137539389103517,0.1283600635274872,0.29791718657889377,0.22578928157989772,0.16001057696465995,0.11887382576801368,0.377671523771912,0.2161550385280409
83,meta-llama/Llama-3.2-3B,12,0.24321006058569694,0.10207488320539788,0.15043570270511702,0.2529596053749935,0.4808559826895406,0.12218477311170656,0.32278799090885524,0.2125808763139514,0.15650719137930144,0.11794604372012212,0.3559848554841668,0.20155143563019245
84,meta-llama/Llama-3.2-3B,13,0.2435935016504582,0.09977839703319867,0.13741705895693074,0.246307750776484,0.48837375225945384,0.12135328836482419,0.32922512719423336,0.2063084985557353,0.163947508906776,0.11917025387258401,0.3570691888985541,0.2165743904512808
85,meta-llama/Llama-3.2-3B,14,0.2468407932301104,0.10277570508528279,0.14261692382882657,0.2416993648569297,0.5102382957452076,0.1146780259920241,0.3107225949487045,0.22614389964048195,0.1604716781004057,0.11039208352754264,0.38193274082589734,0.22975694383702056
86,meta-llama/Llama-3.2-3B,15,0.24818061120882665,0.09740676585273338,0.12043208106525911,0.2210806442238581,0.5307926514543665,0.10392774433272256,0.3314626582239534,0.20403829142809332,0.16703733946826246,0.1134104381471849,0.37991630720425024,0.222048586640239
87,meta-llama/Llama-3.2-3B,16,0.2548262243022584,0.10008830017683042,0.1165037100586672,0.21922237967254993,0.533702103696219,0.10418218388209292,0.3184506572513062,0.21380925928211084,0.18071699976234518,0.1155286556645112,0.3831693074474121,0.23841328365511846
